Water Intake,Glass (8 oz.),Glass (8 oz.).1,Glass (8 oz.).2,Glass (8 oz.).3,Glass (8 oz.).4,Glass (8 oz.).5,Glass (8 oz.).6,Glass (8 oz.).7
25-Oct,1,1,1,1,0,0,0,0
26-Oct,1,1,1,0,0,0,0,0
27-Oct,1,1,1,1,1,0,0,0
28-Oct,1,1,1,0,0,0,0,0
29-Oct,1,1,1,1,1,1,1,0
30-Oct,1,1,1,0,0,0,0,0
31-Oct,1,1,1,0,0,0,0,0
1-Nov,1,1,1,0,0,0,0,0
2-Nov,1,1,1,1,0,0,0,0
3-Nov,1,1,1,0,0,0,0,0
4-Nov,1,1,1,1,0,0,0,0
5-Nov,1,1,1,0,0,0,0,0
6-Nov,1,1,1,0,0,0,0,0
7-Nov,1,1,1,1,1,1,0,0
8-Nov,1,1,1,0,0,0,0,0
9-Nov,1,1,1,0,0,0,0,0
10-Nov,1,1,1,1,1,0,0,0
